timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1783499590568,3591,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT_Plan C 1-1,,true,,375815,46855,2,2,null,0,416,535
1783499593548,2392,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT_Plan C 1-2,,true,,375884,46952,2,2,null,0,113,119
1783499596536,3693,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT_Plan C 1-3,,true,,375895,46867,4,4,null,0,123,111
1783499596054,5980,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT_Plan C 1-2,,true,,270299,43294,4,4,null,0,33,21
1783499599534,3686,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT_Plan C 1-4,,true,,375958,46941,5,5,null,0,88,91
1783499602067,1639,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT_Plan C 1-2,,true,,11187,36519,5,5,null,0,18,46
1783499594577,10483,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT_Plan C 1-1,,true,,270376,43266,5,5,null,0,34,122
1783499602531,2566,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT_Plan C 1-5,,true,,376068,46953,5,5,null,0,83,95
1783499600352,5811,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT_Plan C 1-3,,true,,270439,43314,6,6,null,0,20,18
1783499605094,1452,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT_Plan C 1-1,,true,,11198,36457,6,6,null,0,5,8
1783499606183,1762,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT_Plan C 1-3,,true,,11186,36519,6,6,null,0,5,9
1783499605533,2781,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT_Plan C 1-6,,true,,375871,46896,6,6,null,0,35,93
1783499608528,3578,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT_Plan C 1-7,,true,,376000,46967,8,8,null,0,30,133
1783499603309,11654,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT_Plan C 1-4,,true,,270389,43276,9,9,null,0,23,19
1783499611525,3376,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT_Plan C 1-8,,true,,375963,46905,9,9,null,0,118,98
1783499614987,2100,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT_Plan C 1-4,,true,,11179,36461,9,9,null,0,3,9
1783499614523,3111,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT_Plan C 1-9,,true,,375942,46908,10,10,null,0,37,98
1783499612139,5737,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT_Plan C 1-7,,true,,270505,43309,10,10,null,0,15,18
1783499605180,13089,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT_Plan C 1-5,,true,,270446,43297,10,10,null,0,22,18
1783499617891,2055,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT_Plan C 1-7,,true,,11194,36515,10,10,null,0,6,10
1783499618291,1922,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT_Plan C 1-5,,true,,11197,36523,10,10,null,0,5,9
1783499617533,2655,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT_Plan C 1-10,,true,,375927,47004,10,10,null,0,82,108
1783499608350,12607,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT_Plan C 1-6,,true,,270419,43313,11,11,null,0,23,22
1783499615020,6417,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT_Plan C 1-8,,true,,270248,43280,11,11,null,0,21,17
1783499620981,1006,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT_Plan C 1-6,,true,,11195,36521,11,11,null,0,4,14
1783499621458,1455,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT_Plan C 1-8,,true,,11179,36471,11,11,null,0,4,8
1783499620531,3342,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT_Plan C 1-11,,true,,376041,46990,12,12,null,0,111,91
1783499617672,6514,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT_Plan C 1-9,,true,,270386,43299,12,12,null,0,16,19
1783499624203,1153,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT_Plan C 1-9,,true,,11202,36521,12,12,null,0,3,10
1783499623526,3780,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT_Plan C 1-12,,true,,376065,47015,13,13,null,0,68,329
1783499623984,4994,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT_Plan C 1-11,,true,,270376,43334,13,13,null,0,22,16
1783499620271,8753,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT_Plan C 1-10,,true,,270336,43302,13,13,null,0,20,16
1783499629000,1196,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT_Plan C 1-11,,true,,11194,36515,14,14,null,0,4,8
1783499626537,3645,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT_Plan C 1-13,,true,,375877,46876,14,14,null,0,64,314
1783499629045,1383,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT_Plan C 1-10,,true,,11204,36517,14,14,null,0,5,25
1783499629531,4331,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT_Plan C 1-14,,true,,376018,46971,15,15,null,0,82,330
1783499632528,3542,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT_Plan C 1-15,,true,,375972,46953,16,16,null,0,33,285
1783499635530,3005,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT_Plan C 1-16,,true,,376011,46962,17,17,null,0,76,329
1783499627374,11456,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT_Plan C 1-12,,true,,270546,43280,17,17,null,0,17,78
1783499603724,6048,PSOSInq- Event log page,200,"Number of samples in transaction : 6, number of failing samples : 0",Baseline_UAT_Plan C 1-2,,true,,38961,48563,17,17,null,0,30008,0
1783499633944,6394,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT_Plan C 1-14,,true,,270423,43302,16,16,null,0,15,17
1783499638848,1852,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT_Plan C 1-12,,true,,11185,36459,16,16,null,0,4,99
1783499630246,10719,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT_Plan C 1-13,,true,,270490,43302,16,16,null,0,18,15
