timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1781195774707,4160,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT Legacy 1-1,,true,,372189,45211,2,2,null,0,554,805
1781195777692,3215,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT Legacy 1-2,,true,,372021,45153,3,3,null,0,90,344
1781195780676,4683,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT Legacy 1-3,,true,,372084,45164,4,4,null,0,34,328
1781195783676,3824,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT Legacy 1-4,,true,,372107,45129,5,5,null,0,55,324
1781195780998,7830,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT Legacy 1-2,,true,,270494,42687,5,5,null,0,33,21
1781195786685,3306,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT Legacy 1-5,,true,,371985,45138,6,6,null,0,127,340
1781195788861,2082,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT Legacy 1-2,,true,,7858,36475,6,6,null,0,7,18
1781195779423,11649,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT Legacy 1-1,,true,,270559,42727,6,6,null,0,26,57
1781195785394,8033,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT Legacy 1-3,,true,,270546,42699,7,7,null,0,29,25
1781195791098,2412,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT Legacy 1-1,,true,,7883,36541,7,7,null,0,6,15
1781195789674,4111,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT Legacy 1-6,,true,,372130,45149,7,7,null,0,77,303
1781195793456,2030,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT Legacy 1-3,,true,,7876,36537,7,7,null,0,5,8
1781195792671,3932,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT Legacy 1-7,,true,,372070,45102,8,8,null,0,82,301
1781195787556,9342,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT Legacy 1-4,,true,,270514,42716,8,8,null,0,19,22
1781195796917,1862,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT Legacy 1-4,,true,,7869,36555,9,9,null,0,5,9
1781195795669,3483,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT Legacy 1-8,,true,,372044,45109,9,9,null,0,72,307
1781195790121,11086,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT Legacy 1-5,,true,,270481,42676,9,9,null,0,20,18
1781195798668,3191,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT Legacy 1-9,,true,,372045,45168,10,10,null,0,94,302
1781195801226,3122,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT Legacy 1-5,,true,,7865,36483,10,10,null,0,5,19
1781195801667,3063,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT Legacy 1-10,,true,,372054,45097,11,11,null,0,54,295
1781195793863,12787,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT Legacy 1-6,,true,,270573,42676,11,11,null,0,16,20
1781195804669,3429,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT Legacy 1-11,,true,,372244,45236,12,12,null,0,56,299
1781195806665,2298,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT Legacy 1-6,,true,,7860,36485,12,12,null,0,6,9
1781195807673,3587,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT Legacy 1-12,,true,,372107,45112,13,13,null,0,54,306
1781195810685,3556,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT Legacy 1-13,,true,,372195,45185,14,14,null,0,81,288
1781195799225,17590,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT Legacy 1-8,,true,,270468,42715,15,15,null,0,33,19
1781195813669,3355,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT Legacy 1-14,,true,,372067,45169,15,15,null,0,56,331
1781195796685,21073,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT Legacy 1-7,,true,,270523,42739,15,15,null,0,17,16
1781195808154,9735,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT Legacy 1-11,,true,,270560,42713,15,15,null,0,17,16
1781195811316,6827,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT Legacy 1-12,,true,,270468,42723,15,15,null,0,21,35
1781195817776,1841,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT Legacy 1-7,,true,,7849,36541,15,15,null,0,5,10
1781195816848,2979,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT Legacy 1-8,,true,,7872,36539,16,16,null,0,4,10
1781195801953,18044,Redirect to applications page,200,"Number of samples in transaction : 7, number of failing samples : 0",Baseline_UAT Legacy 1-9,,true,,270563,42682,16,16,null,0,20,17
1781195816668,3310,Login ,200,"Number of samples in transaction : 11, number of failing samples : 0",Baseline_UAT Legacy 1-15,,true,,372169,45200,16,16,null,0,91,321
1781195818165,1901,Event log page,200,"Number of samples in transaction : 4, number of failing samples : 0",Baseline_UAT Legacy 1-12,,true,,7841,36539,16,16,null,0,5,14
